X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,0,0,0,X,X,X,X,0,X,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,0,0,X,E,E,X,0,X,E,E,X,0,X
X,0,X,X,0,X,X,0,X,X,0,0,0,0,0,0,0,0,X,X,X,X,X,E,E,X,X,0,0,X,E,E,X,0,X,E,E,X,0,X
X,0,X,X,0,X,X,0,X,X,0,0,X,X,X,X,X,0,0,X,X,X,X,E,E,E,X,X,0,X,X,X,X,0,X,X,X,X,0,X
X,0,X,X,0,0,0,0,X,X,0,X,X,X,X,X,X,X,0,0,X,X,X,E,X,E,X,X,0,0,0,0,0,0,0,0,0,0,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,X,0,X,X,X,E,X,E,X,X,0,X,X,X,X,X,X,0,0,X,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,X,0,X,X,X,E,X,E,X,X,0,X,X,X,X,X,X,X,0,X,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,X,0,X,X,X,E,X,E,X,X,0,X,X,X,X,X,X,X,0,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,X,0,X,X,X,E,X,E,X,X,0,X,X,X,E,E,X,X,X,0,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,X,0,X,X,X,E,X,E,X,X,0,X,X,X,E,E,E,X,X,0,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,0,0,0,X,X,X,E,X,E,X,X,0,X,X,X,E,X,E,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,0,0,0,X,0,X,X,X,E,X,E,X,X,0,X,X,X,E,X,E,X,X,X,0,X
X,0,0,0,0,X,X,0,0,0,0,X,X,X,0,X,X,X,X,0,X,X,X,E,E,E,X,X,0,X,X,X,E,X,E,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,X,X,X,0,X,X,X,E,E,X,X,0,0,X,X,X,E,X,E,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,0,0,0,X,0,X,X,X,X,X,X,X,0,X,X,X,X,E,X,E,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,0,0,0,X,X,X,X,X,X,0,0,X,X,X,X,E,X,E,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,0,0,X,X,X,0,0,0,0,0,0,X,X,X,E,E,E,X,X,X,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,0,0,X,X,X,0,X,X,X,X,0,X,X,X,E,E,X,X,X,0,0,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,0,0,X,X,X,0,X,0,0,X,0,X,X,X,E,E,X,X,0,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,X,X,X,X,0,0,X,X,X,0,X,0,0,X,0,X,X,X,X,X,X,X,0,0,X,X
X,0,X,X,0,0,0,0,X,X,0,X,X,X,X,X,X,0,0,0,X,X,X,0,X,0,0,X,0,X,X,X,X,X,X,0,0,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,0,0,0,0,0,X,X,X,0,0,0,0,0,0,X,X,X,X,X,0,0,X,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,X,X,X,0,X,X,X,0,X,0,0,X,0,X,X,X,X,X,X,0,X,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,E,E,X,0,X,X,X,0,X,0,0,X,0,X,X,X,X,X,X,0,X,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,E,E,X,0,X,X,X,0,X,0,0,X,0,X,X,X,X,X,0,0,X,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,X,X,X,0,X,X,X,0,X,X,X,X,0,X,X,X,X,X,X,0,X,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,X,X,X,X,0,X,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,X,X,X,X,X,0,X,X,X,X,X,X,0,X,X,X,0,X,X,0,0,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,E,E,E,E,X,0,X,E,E,E,E,X,0,X,X,X,0,X,X,X,0,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,E,E,E,E,X,0,X,E,E,E,E,X,0,X,X,X,0,X,X,X,0,0,X,X
X,0,X,X,0,X,X,0,X,X,0,X,X,X,0,X,X,X,X,X,X,0,X,X,X,X,X,X,0,X,X,X,0,X,X,X,0,0,X,X
X,0,X,X,0,0,0,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,X,0,0,X,X,X,0,X,X
X,0,X,X,X,0,0,X,X,X,0,X,X,X,X,0,X,X,X,X,X,X,X,0,X,X,X,X,0,X,X,X,0,0,X,X,X,0,0,X
X,0,0,X,X,X,X,X,X,0,0,X,X,X,X,0,X,X,X,X,X,X,X,0,X,X,X,X,0,X,X,X,0,0,X,X,X,X,0,X
X,0,0,X,X,X,X,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,X,0,0,0,X,X,X,0,X
X,0,0,0,0,X,X,0,0,0,0,X,X,X,X,0,X,X,X,X,X,X,X,0,X,X,X,X,0,X,X,X,0,0,0,X,X,X,0,X
X,X,0,0,0,0,0,0,X,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
